Administración Pública,21089,0.15,0.20,0.30,0.25,0.10,0.10,450,No tiene,35,625.8,513
Bibliotecología y Documentación,21002,0.20,0.20,0.40,0.10,0.10,0.10,450,No tiene,35,675.3,453.6
Contador Público y Auditor,21012,0.20,0.20,0.30,0.15,0.15,0.15,450,No tiene,80,635.55,452.2
Ingeniería Comercial,21048,0.10,0.20,0.30,0.30,0.10,0.10,450,No tiene,125,652.9,496.9
Ingeniería en Administración Agroindustrial,21015,0.10,0.20,0.30,0.30,0.10,0.10,450,No tiene,30,628.8,461.8
Ingeniería en Comercio Internacional,21081,0.10,0.20,0.30,0.30,0.10,0.10,450,No tiene,90,637.2,458.8
Ingeniería en Gestión Turística,21082,0.10,0.20,0.30,0.30,0.10,0.10,450,No tiene,25,659.4,448.1
Arquitectura,21047,0.15,0.25,0.20,0.20,0.20,0.20,450,No tiene,100,640.2,527.4
Ingeniería Civil en Obras Civiles,21074,0.20,0.20,0.15,0.35,0.10,0.10,450,No tiene,100,625,476.1
Ingeniería en Construcción,21032,0.20,0.20,0.15,0.35,0.10,0.10,450,No tiene,100,716.3,476.95
Ingeniería Civil en Prevención de Riesgos y Medioambiente,21087,0.15,0.35,0.20,0.20,0.10,0.10,450,No tiene,30,615.2,462.85
Ingeniería en Biotecnología,21073,0.15,0.25,0.20,0.30,0.10,0.00,450,No tiene,60,675.8,540.9
Ingeniería en Industria Alimentaria,21039,0.15,0.25,0.20,0.30,0.10,0.00,450,No tiene,30,680.2,464.9
Ingeniería en Química,21080,0.10,0.25,0.15,0.30,0.20,0.00,450,No tiene,80,606.55,451.7
Química Industrial,21083,0.10,0.25,0.15,0.30,0.20,0.00,450,No tiene,40,596.05,472
Diseño en Comunicación Visual,21024,0.10,0.40,0.30,0.10,0.10,0.10,450,No tiene,100,706.3,440.2
Diseño Industrial,21023,0.10,0.40,0.30,0.10,0.10,0.10,450,No tiene,65,642.2,439.9
Trabajo Social,21043,0.20,0.30,0.20,0.10,0.00,0.20,450,No tiene,95,705.9,510.5
Bachillerato en Ciencias de la Ingeniería,21046,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,25,586.45,504.25
Dibujante Proyectista,21071,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,25,689.85,496.45
Ingeniería Civil en Computación. mención Informática,21041,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,130,673.65,539.35
Ingeniería Civil Industrial,21076,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,200,671.25,500.85
Ingeniería Civil en Ciencia de Datos,21049,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,60,673.65,539.35
Ingeniería Civil Electrónica,21075,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,80,657.35,500.65
Ingeniería Civil en Mecánica,21096,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,90,697.65,506.8
Ingeniería en Geomensura,21031,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,60,614.3,487.85
Ingeniería en Informática,21030,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,105,705.15,507.75
Ingeniería Industrial,21045,0.10,0.25,0.20,0.35,0.10,0.10,450,No tiene,60,584.75,476.25